"ID de la Hoja de Acceso - prefix","ID de la Hoja de Acceso - number","ID de la Hoja de Acceso","Emplazamiento - prefix","Emplazamiento - number",Emplazamiento,Estado,Autor,"Ultimo cambio","Fecha de CreaciÃ³n","Â¿AutorizaciÃ³n CAE?","VÃ­a de acceso","VehÃ­culo Recomendado","Compuerta de vehÃ­culos (Ancho x Altura)","Escalera (Largo x Ancho)","Escaleras (Largo x Ancho x Altura)","Ascensor (Largo x Ancho x Altura)","Ventana Horario Acceso","Plazo NotificaciÃ³n","Presencia Propietario","Tipo de AutorizaciÃ³n","Condiciones Especiales","Tipo llave","InformaciÃ³n adicional"
AS,11634,AS-11634,LO,3827,LO-003827,Activo,"Delgado Alejandro","2024-01-16 11:53:26",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido","ACTUALIZADO 5/2012 PILAR NARVAEZ 696873989 ( PRESID)",Locken,"COPIA DE LLAVES: 1P, 1C, 1A, 1Contadores"
AS,13861,AS-13861,LO,6062,LO-006062,Activo,"Delgado Alejandro","2024-01-16 12:02:55",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,"Llave Abloy",
AS,10409,AS-10409,LO,2602,LO-002602,Activo,"Delgado Alejandro","2024-01-16 11:47:41",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,,
AS,13891,AS-13891,LO,6092,LO-006092,Activo,"Delgado Alejandro","2024-01-16 12:03:03",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,Restringido,"LLAMAR A TELEFONO PARTICULAR PARA ACCEDER POR EL DIA Y SIN ACCESO POR LA NOCHE--","Llave Abloy","LLAMAR A TELEFONO PARTICULAR PARA ACCEDER POR EL DIA Y SIN ACCESO POR LA NOCHE--"
AS,14935,AS-14935,LO,7138,LO-007138,Activo,"Delgado Alejandro","2024-01-16 12:07:58",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,,
AS,9586,AS-09586,LO,1775,LO-001775,Activo,"Delgado Alejandro","2024-01-16 11:43:52",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,,
AS,12574,AS-12574,LO,4774,LO-004774,Activo,"Delgado Alejandro","2024-01-16 11:57:27",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,Locken,
AS,13051,AS-13051,LO,5252,LO-005252,Activo,"Delgado Alejandro","2024-01-16 11:59:24",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,"Llave Abloy",
AS,11238,AS-11238,LO,3431,LO-003431,Activo,"Delgado Alejandro","2024-01-16 11:51:35",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,"Llave Abloy",
AS,15557,AS-15557,LO,7762,LO-007762,Activo,"Delgado Alejandro","2024-01-16 12:10:49",2023-05-25,Si,,,,,,,"Acceso 24x7x365",,,E-Mail,"a  recepcion@puertovenecia.com  con copia siempre a mariajose.mirallas@cbre.com.  //CUALQUIER MODIFICACIÃN  REQUERIRÃ LA AUTORIZACIÃN DE LA PROPIEDAD. NO SE PERMITE LA CESIÃN NI EL SUBARRIENDO.",,
AS,14173,AS-14173,LO,6375,LO-006375,Activo,"Delgado Alejandro","2024-01-16 12:04:27",2023-05-25,No,,,Indiferente,,,,,,,"No Restringido",,,
AS,14837,AS-14837,LO,7040,LO-007040,Activo,"Delgado Alejandro","2024-01-16 12:07:28",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,"Llave Abloy",
AS,8761,AS-08761,LO,949,LO-000949,Activo,"Delgado Alejandro","2024-01-16 11:40:15",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,,
AS,8107,AS-08107,LO,294,LO-000294,Activo,"Delgado Alejandro","2024-01-16 11:37:18",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido","acceso 24h--NSN actualizado 31.3.11",Locken,"llave locken Orange--NSN actualizado 31.3.11"
AS,9214,AS-09214,LO,1403,LO-001403,Activo,"Delgado Alejandro","2024-01-10 20:53:49",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,Restringido,,,
AS,12345,AS-12345,LO,4539,LO-004539,Activo,"Delgado Alejandro","2024-01-16 11:56:33",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido","-CARRETERA Naciona 1 Madrid a Burgos km 29 girara la derecha dircccion el RRACE una puerta de hierro hay una cadena que no tiene candado, se quita y esta abierta.",Locken,
AS,8240,AS-08240,LO,427,LO-000427,Activo,"Delgado Alejandro","2024-01-16 11:37:52",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,Locken,
AS,9649,AS-09649,LO,1839,LO-001839,Activo,"Delgado Alejandro","2024-01-16 11:44:07",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,,
AS,8340,AS-08340,LO,527,LO-000527,Activo,"Delgado Alejandro","2024-01-16 11:38:21",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido","solicitar acompaÃ±amiento a Euskaltel NSN actualizado 12.4.10--",Locken,
AS,8419,AS-08419,LO,606,LO-000606,Activo,"Delgado Alejandro","2024-01-16 11:38:44",2023-05-25,No,,,,,,,,,,"No Restringido",,,
AS,12417,AS-12417,LO,4614,LO-004614,Activo,"Delgado Alejandro","2024-01-16 11:56:47",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,Locken,
AS,14068,AS-14068,LO,6270,LO-006270,Activo,"Delgado Alejandro","2024-01-16 12:03:56",2023-05-25,Si,,,,,,,"Acceso 24x7x365",,,Restringido,"restringido para acceso al tunel. La BTS es accesible 24x7",Locken,
AS,10461,AS-10461,LO,2654,LO-002654,Activo,"Delgado Alejandro","2024-01-16 11:47:56",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,Locken,"4 llaves: 1 P, 2 A, 1 C."
AS,11964,AS-11964,LO,4157,LO-004157,Activo,"Delgado Alejandro","2024-01-16 11:54:59",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,,
AS,14236,AS-14236,LO,6438,LO-006438,Activo,"Delgado Alejandro","2024-01-16 12:04:42",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,,
AS,12121,AS-12121,LO,4314,LO-004314,Activo,"Delgado Alejandro","2024-01-16 11:55:38",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido","hay llaves locken NSN actualizado 18/08/2013",Locken,
AS,11343,AS-11343,LO,3536,LO-003536,Activo,"Delgado Alejandro","2024-01-16 11:52:08",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,,
AS,10122,AS-10122,LO,2314,LO-002314,Activo,"Delgado Alejandro","2024-01-10 20:56:02",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,Restringido,,Locken,"Locken para CE pero hay que enviar correo a R para entrar"
AS,14997,AS-14997,LO,7200,LO-007200,Activo,"Delgado Alejandro","2024-01-16 12:08:16",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,,
AS,8292,AS-08292,LO,479,LO-000479,Activo,"Delgado Alejandro","2024-01-10 20:51:33",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,E-Mail,"Alfredo Kobeaga Akaiturri (Jefe de Servicios Generales)--Tel. +34 94 499 73 00",Locken,"CÃ³digo candado Antiescalo: 1212"
AS,9633,AS-09633,LO,1823,LO-001823,Activo,"Delgado Alejandro","2024-01-16 11:44:04",2023-05-25,No,,,,,,,,,,"No Restringido",,,
AS,7830,AS-07830,LO,16,LO-000016,Activo,"Delgado Alejandro","2024-01-10 20:50:25",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido","CTRA. CIRCUNVALACION ESQUINA CTERA. MURCIA--",,
AS,15540,AS-15540,LO,7745,LO-007745,Activo,"Delgado Alejandro","2024-01-16 12:10:45",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,,
AS,8864,AS-08864,LO,1052,LO-001052,Activo,"Delgado Alejandro","2024-01-16 11:40:43",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,Locken,
AS,9464,AS-09464,LO,1653,LO-001653,Activo,"Delgado Alejandro","2024-01-16 11:43:13",2023-05-25,No,,,Turismo,,,,"Acceso 24x7x365",,,"No Restringido",,,
AS,10587,AS-10587,LO,2780,LO-002780,Activo,"Delgado Alejandro","2024-01-16 11:48:38",2023-05-25,No,,4x4,4x4,,,,"Acceso 24x7x365",,,"No Restringido","JuliÃ¡n  653686833 (CAPATAZ)--CONTRASEÃA CANDADO 0420",Locken,
AS,14080,AS-14080,LO,6282,LO-006282,Activo,"Delgado Alejandro","2024-01-16 12:03:59",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,"Llave Abloy",
AS,11043,AS-11043,LO,3236,LO-003236,Activo,"Delgado Alejandro","2024-01-16 11:50:37",2023-05-25,No,,,,,,,"LU - VI de 08 a 14, LU - VI de 14 a 20",,,Restringido,,,
AS,8869,AS-08869,LO,1057,LO-001057,Activo,"Delgado Alejandro","2024-01-16 11:40:44",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,Locken,"Hay copia de llave de porteria en Custodia en Garcilaso 09/2018 SB"
AS,12905,AS-12905,LO,5106,LO-005106,Activo,"Delgado Alejandro","2024-01-16 11:58:45",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,Restringido,,Locken,
AS,7930,AS-07930,LO,117,LO-000117,Activo,"Delgado Alejandro","2024-01-16 11:36:28",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido","acceso 24h--NSN actualizado 22.2.11",Locken,"llave Abloy Orange--NSN actualizado 22.2.11"
AS,10159,AS-10159,LO,2351,LO-002351,Activo,"Delgado Alejandro","2024-01-16 11:46:30",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido","Avisar al presidente antes de acudir",Locken,"La llave de los contadores no es necesaria ya que estÃ¡ continuamente abierta"
AS,12757,AS-12757,LO,4958,LO-004958,Activo,"Delgado Alejandro","2024-01-16 11:58:02",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,Restringido,,,
AS,11155,AS-11155,LO,3348,LO-003348,Activo,"Delgado Alejandro","2024-01-16 11:51:11",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,"Llave Abloy",
AS,11739,AS-11739,LO,3932,LO-003932,Activo,"Delgado Alejandro","2024-01-16 11:53:57",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,Locken,"SOLICITUD COMPARTICION A AXION, COMPARTICION CON VDF"
AS,8559,AS-08559,LO,746,LO-000746,Activo,"Delgado Alejandro","2024-01-16 11:39:23",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido","Acceso peligroso nocturno","Llave Abloy",
AS,14265,AS-14265,LO,6467,LO-006467,Activo,"Delgado Alejandro","2024-01-16 12:04:50",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,,
AS,9609,AS-09609,LO,1798,LO-001798,Activo,"Delgado Alejandro","2024-01-16 11:44:00",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,Restringido,"ACCCESO POR CONTRATO (SALVO URGENCIAS) DE 7 A 22 horas--AVISAR TRABAJOS NOCTURNOS DE URGENCIA: SI HAY RUIDO LLAMAN A LA POLICIA.",Locken,
AS,14268,AS-14268,LO,6470,LO-006470,Activo,"Delgado Alejandro","2024-01-16 12:04:50",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,,
AS,14454,AS-14454,LO,6656,LO-006656,Activo,"Delgado Alejandro","2024-01-16 12:05:41",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,Locken,
AS,13001,AS-13001,LO,5202,LO-005202,Activo,"Delgado Alejandro","2024-01-16 11:59:09",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,"Llave Abloy",
AS,14693,AS-14693,LO,6895,LO-006895,Activo,"Delgado Alejandro","2024-01-16 12:06:48",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,,
AS,10347,AS-10347,LO,2540,LO-002540,Activo,"Delgado Alejandro","2024-01-16 11:47:24",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,,
AS,12582,AS-12582,LO,4782,LO-004782,Activo,"Delgado Alejandro","2024-01-16 11:57:28",2023-05-25,Si,,,,,,,"LU - VI de 08 a 14, SA de 08 a 14",,,Restringido,"GEMA ALONSO (GERENTE) PEDIR ACCESO LLAMANDO AL 914061348 con nombre, DNI, empresa y telÃ©fono de contacto y fechas entre las que se va a intervenir. gemma.alonso@bnpparibas.com SM 26/11/2014",,
AS,13056,AS-13056,LO,5257,LO-005257,Activo,"Delgado Alejandro","2024-01-16 11:59:25",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,"Llave Abloy",
AS,15263,AS-15263,LO,7467,LO-007467,Activo,"Delgado Alejandro","2024-01-16 12:09:27",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,Locken,
AS,10679,AS-10679,LO,2872,LO-002872,Activo,"Delgado Alejandro","2024-01-16 11:49:03",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,Restringido,,,
AS,9447,AS-09447,LO,1636,LO-001636,Activo,"Delgado Alejandro","2024-01-16 11:43:08",2023-05-25,No,,,,,,,,,,"No Restringido",,,
AS,11709,AS-11709,LO,3902,LO-003902,Activo,"Delgado Alejandro","2024-01-16 11:53:47",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,Locken,"COPIA LLAVES:. 1Azotea. LA LLAVE DE LA PUERTA PRINCIPAL ES DE SEGURIDAD"
AS,14854,AS-14854,LO,7057,LO-007057,Activo,"Delgado Alejandro","2024-01-16 12:07:32",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,"Llave Abloy",
AS,12000,AS-12000,LO,4193,LO-004193,Activo,"Delgado Alejandro","2024-01-16 11:55:09",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,Restringido,"Llaves en Ulises (Abril 2016)",Locken,
AS,14750,AS-14750,LO,6952,LO-006952,Activo,"Delgado Alejandro","2024-01-16 12:07:04",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,,
AS,15399,AS-15399,LO,7604,LO-007604,Activo,"Delgado Alejandro","2024-01-16 12:10:04",2023-05-25,No,,,,,,,,,,E-Mail,,,
AS,14905,AS-14905,LO,7108,LO-007108,Activo,"Delgado Alejandro","2024-01-16 12:07:48",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,,
AS,8473,AS-08473,LO,660,LO-000660,Activo,"Delgado Alejandro","2024-01-16 11:39:00",2023-05-25,No,,,,,,,,,,"No Restringido",,,
AS,15314,AS-15314,LO,7518,LO-007518,Activo,"Delgado Alejandro","2024-01-16 12:09:42",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,,
AS,8760,AS-08760,LO,948,LO-000948,Activo,"Delgado Alejandro","2024-01-16 11:40:15",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,Restringido,,,
AS,11752,AS-11752,LO,3945,LO-003945,Activo,"Delgado Alejandro","2024-01-16 11:54:01",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,Restringido,,,
AS,11619,AS-11619,LO,3812,LO-003812,Activo,"Delgado Alejandro","2024-01-16 11:53:22",2023-05-25,No,,,,,,,,,,"No Restringido",,,
AS,10764,AS-10764,LO,2957,LO-002957,Activo,"Delgado Alejandro","2024-01-16 11:49:26",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,Otros,"PARA ACCEDER AL PARQUE NATURAL HAY QUE ENVIAR mail CON NOMBRE, DNI Y MATRÃCULA VEHÃCULO A LA ATENCIÃN DEL DIRECTOR (959 43 96 48). TELÃFONO: 959 43 96 27. Actualizado junio09.",,
AS,13286,AS-13286,LO,5487,LO-005487,Activo,"Delgado Alejandro","2024-01-10 21:04:11",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,"Llave Abloy",
AS,14929,AS-14929,LO,7132,LO-007132,Activo,"Delgado Alejandro","2024-01-16 12:07:55",2023-05-25,No,,Indiferente,Indiferente,,,,"Acceso 24x7x365",,,"No Restringido",,"Llave Abloy",
AS,9827,AS-09827,LO,2017,LO-002017,Activo,"Delgado Alejandro","2024-01-16 11:44:58",2023-05-25,No,,4x4,4x4,,,,"Acceso 24x7x365",,,"No Restringido",,,
AS,12286,AS-12286,LO,4479,LO-004479,Activo,"Delgado Alejandro","2024-01-16 11:56:20",2023-05-25,No,,,,,,,"LU - VI de 08 a 14, LU - VI de 14 a 20",,,TelÃ©fono,"AVISAR ANTES DE ACCEDER Necesario llamar antes de ir al NÂº 917462730 preguntar Juan Portel o Jose Luis. Acceso hasta las 20:00 sin acceso Fines de semana",,
AS,11036,AS-11036,LO,3229,LO-003229,Activo,"Delgado Alejandro","2024-01-16 11:50:36",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,"No son necesarias llaves",
AS,11778,AS-11778,LO,3971,LO-003971,Activo,"Delgado Alejandro","2024-01-10 21:00:06",2023-05-25,No,,,,,,,,,,"No Restringido",,,
AS,14866,AS-14866,LO,7069,LO-007069,Activo,"Delgado Alejandro","2024-01-16 12:07:36",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,"Llave Abloy",
AS,10127,AS-10127,LO,2319,LO-002319,Activo,"Delgado Alejandro","2024-01-16 11:46:21",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,Locken,"KEYBOX en fachada junto a la puerta de acceso: L600ED7F6"
AS,15380,AS-15380,LO,7585,LO-007585,Activo,"Delgado Alejandro","2024-01-10 21:09:16",2023-05-25,No,,,,,,,,,,"No Restringido",,,
AS,13961,AS-13961,LO,6162,LO-006162,Activo,"Delgado Alejandro","2024-01-16 12:03:23",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,"Llave Abloy",
AS,12821,AS-12821,LO,5022,LO-005022,Activo,"Delgado Alejandro","2024-01-16 11:58:14",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,,
