"ID del Sitio - prefix","ID del Sitio - number","ID del Sitio","Id Emplazamiento - prefix","Id Emplazamiento - number","Id Emplazamiento","Id EnergÃ­a - prefix","Id EnergÃ­a - number","Id EnergÃ­a","Id LegalizaciÃ³n - prefix","Id LegalizaciÃ³n - number","Id LegalizaciÃ³n",Estado,"Nombre del Sitio","Prioridad del Site","CategorÃ­a Site",Host,Description,"Tipo de Site","Next preventive maintenance visit","O&M subcontractor","O&M manager","Coordenadas - Latitude - WGS 84","Coordenadas - Longitude - WGS 84","Coordenadas - Elevation","Teleporte Site Id","Site Sera4","Site Sera4 Info","Sync To Sera4's Site","Sera4 site id","Site total costs","Tag from location","Griet Site","Responsable GRIET","Zona Totem",Observaciones,"Tipo de Infraestructura","Resultado Previabilidad Fibra","Motivo Previabilidad Desfavorable","Causas Abandono","Fecha de RFI","Fecha InstalaciÃ³n Tenant","Fecha Desmantelamiento","Site ID (client)"
SPA-PO,6154,SPA-PO06154,LO,5539,LO-005539,PW,5573,PW-5573,AA,5543,AA-5543,Activo,PO6154,P2,Macro,,,"Nueva Demanda",,,,42.287366,-8.607897,13.0,,false,,false,,,,false,,RNOR,,AZOTEA,,,,,,,PO6154
SPA-MX,3506,SPA-MX03506,LO,4710,LO-004710,PW,4749,PW-4749,AA,4717,AA-4717,Activo,MX3506,P3,Macro,,"Jumping VDF","Nueva Demanda",,,,40.235035,-3.765207,0.0,,false,,false,,,,false,,RCEN,"VODAFONE JUMPING",,,,,,,,MX3506
SPA-SE,328,SPA-SE00328,LO,5833,LO-005833,PW,5867,PW-5867,AA,5837,AA-5837,Activo,SE0328,P3,Macro,,,"Nueva Demanda",,,,37.410801,-5.997346,9.0,,false,,false,,,,false,,RSUR,,TORRE,,,,,,,SE0328
SPA-BU,4190,SPA-BU04190,LO,681,LO-000681,PW,737,PW-0737,AA,699,AA-0699,Activo,BU4190,P3,Macro,,,"Nueva Demanda",,,,43.138624,-3.265122,251.0,,false,,false,,,,false,,RNOR,,TORRE,,,,,,,BU4190
SPA-AV,8413,SPA-AV08413,LO,144,LO-000144,PW,209,PW-0209,AA,143,AA-0143,Activo,AV8413,P3,Macro,,,"Nueva Demanda",,,,40.655355,-4.700513,1080.0,,false,,false,,,,false,,RNOR,,AZOTEA,,,,,,,AV8413
SPA-SA,5731,SPA-SA05731,LO,5704,LO-005704,PW,5737,PW-5737,AA,5708,AA-5708,Activo,SA5731,P3,Macro,,,"Nueva Demanda",,,,40.595996,-6.532017,641.0,,false,,false,,,,false,,RNOR,"para acceder al deposito del agua tenemos que solicitar acceso indicando nombres, DNI y trabajos a realizar a: registro@aytociudadrodrigo.es / david.arquitectura@aytocuidadrodrigo.es / David 656802575. Si el acceso es unicamente a  la sala habilitada sigue siendo no restringido.",TORRE,,,,,,,SA5731
SPA-CR,3067,SPA-CR03067,LO,1731,LO-001731,PW,1788,PW-1788,AA,1746,AA-1746,Activo,CR3067,P3,Macro,,,"Nueva Demanda",,,,39.171146,-3.231503,0.0,,false,,false,,,,false,,RCEN,,TORRE,,,,,,,CR3067
SPA-MX,2526,SPA-MX02526,LO,4653,LO-004653,PW,4692,PW-4692,AA,4660,AA-4660,Activo,MX2526,P3,Macro,,"RTVE PRADO DEL REY","Nueva Demanda",,,,40.410248,-3.790603,657.0,,false,,false,,,,false,,RCEN,,AZOTEA,,,,,,,MX2526
SPA-TX,7684,SPA-TX07684,LO,6886,LO-006886,PW,6907,PW-6907,AA,6885,AA-6885,Activo,TX7684,P3,Macro,,"JUMPING VDF","Nueva Demanda",,,,41.115334,1.247842,1.0,,false,,false,,,,false,,REST,,AZOTEA,,,,,,,TX7684
SPA-SE,276,SPA-SE00276,LO,5822,LO-005822,PW,5856,PW-5856,AA,5826,AA-5826,Activo,SE0276,P3,Macro,,,"Nueva Demanda",,,,37.401116,-5.993645,7.0,,false,,false,,,,false,,RSUR,,AZOTEA,,,,,,,SE0276
SPA-VA,4094,SPA-VA04094,LO,8226,LO-008226,,,-,AA,7896,AA-7896,Viabilidad,VA4094,P3,,,,Repliegue,,,,,,,,false,,false,,,,false,,RNOR,,TORRE,,,,,,,VA4094
SPA-IB,153,SPA-IB00153,LO,3089,LO-003089,PW,3135,PW-3135,AA,3102,AA-3102,Activo,IB0153,P1,Macro,,,"Nueva Demanda",,,,39.526936,2.932613,531.0,,false,,false,,,,false,,REST,,AZOTEA,,,,,,,IB0153
SPA-CA,4288,SPA-CA04288,,,-,,,-,,,-,Viabilidad,CA4288,P3,,,,"Nueva Demanda",,,,,,,,false,,false,,,,false,,RSUR,,AZOTEA,,,,,,,
SPA-BX,588,SPA-BX00588,LO,971,LO-000971,PW,1028,PW-1028,AA,987,AA-0987,Activo,BX0588,P1,Macro,,,"Nueva Demanda",,,,41.455022,2.227127,51.0,,false,,false,,,,false,,REST,"(2021) Presidente: Jose MarÃ­a Puerta 689 15 70 21",AZOTEA,,,,,,,BX0588
SPA-VX,940,SPA-VX00940,LO,7393,LO-007393,PW,7406,PW-7406,AA,7391,AA-7391,Activo,VX0940,P3,"PeticiÃ³n Cliente",,"MACRO INDOOR/OUTDOOR EN SEDE DE CLIENTE AMCOR FLEXIBLES ESPAÃA SL","Nueva Demanda",,,,39.133534,-0.413188,28.0,,false,,false,,,,false,,REST,"MACRO INDOOR/OUTDOOR EN SEDE DE CLIENTE AMCOR FLEXIBLES ESPAÃA SL",AZOTEA,,,,,,,VX0940
SPA-GC,7,SPA-GC00007,LO,2331,LO-002331,PW,2380,PW-2380,AA,2345,AA-2345,Activo,GC0007,P2,DDEE,,"ECI LAS PALMAS (0012)","Nueva Demanda",,,,28.134315,-15.434489,0.0,,false,,false,,,,false,,RCEN,,AZOTEA,,,,,,,GC0007
SPA-AB,6027,SPA-AB06027,LO,50,LO-000050,PW,117,PW-0117,AA,50,AA-0050,Activo,AB6027,P3,Macro,,,"Nueva Demanda",,,,39.146594,-2.294497,100.0,,false,,false,,,,false,,RCEN,,TORRE,,,,,,,AB6027
SPA-PO,7117,SPA-PO07117,LO,5615,LO-005615,PW,5649,PW-5649,AA,5619,AA-5619,Activo,PO7117,P1,Macro,,,"Nueva Demanda",,,,42.497889,-8.502617,595.0,,false,,false,,,,false,,RNOR,,TORRE,,,,,,,PO7117
SPA-BU,4231,SPA-BU04231,LO,701,LO-000701,PW,756,PW-0756,AA,719,AA-0719,Activo,BU4231,P3,Macro,,"Jumping VDF","Nueva Demanda",,,,41.682335,-3.746701,0.0,,false,,false,,,,false,,RNOR,,,,,,,,,BU4231
SPA-CO,6702,SPA-CO06702,LO,1595,LO-001595,PW,1653,PW-1653,AA,1610,AA-1610,Activo,CO6702,P3,Macro,,,"Nueva Demanda",,,,37.676298,-4.933387,197.0,,false,,false,,,,false,,RSUR,,TORRE,,,,,,,CO6702
SPA-PX,8103,SPA-PX08103,LO,5663,LO-005663,PW,5697,PW-5697,AA,5667,AA-5667,Activo,PX8103,P3,Macro,,,"Nueva Demanda",,,,42.254316,-4.89787,821.0,,false,,false,,,,false,,RNOR,,TORRE,,,,,,,PX8103
SPA-LO,515,SPA-LO00515,LO,3541,LO-003541,PW,3585,PW-3585,AA,3553,AA-3553,Activo,LO0515,P2,Macro,,,"Nueva Demanda",,,,42.572968,-3.00877,0.0,,false,,false,,,,false,,RNOR,,TORRE,,,,,,,LO0515
SPA-AX,559,SPA-AX00559,LO,277,LO-000277,PW,341,PW-0341,AA,274,AA-0274,Activo,AX0559,P3,"PeticiÃ³n Cliente",,,"Nueva Demanda",,,,38.314539,-0.518272,5.0,,false,,false,,,,false,,REST,,AZOTEA,,,,,,,AX0559
SPA-ZX,507,SPA-ZX00507,LO,7771,LO-007771,PW,7781,PW-7781,AA,7769,AA-7769,Activo,ZX0507,P3,Macro,,,"Nueva Demanda",,,,41.373561,0.320273,240.0,,false,,false,,,,false,,REST,,TORRE,,,,,,,ZX0507
SPA-GC,27,SPA-GC00027,LO,2345,LO-002345,PW,2394,PW-2394,AA,2359,AA-2359,Activo,GC0027,P3,Macro,,"PEDRO INFINITO","Nueva Demanda",,,,28.107918,-15.436004,0.0,,false,,false,,,,false,,RCEN,,AZOTEA,,,,,,,GC0027
SPA-BX,769,SPA-BX00769,LO,1014,LO-001014,PW,1070,PW-1070,AA,1030,AA-1030,Activo,BX0769,P3,Micro,,,"Nueva Demanda",,,,41.567652,1.918972,0.0,,false,,false,,,,false,,REST,,TORRE,,,,,,,BX0769
SPA-TO,219,SPA-TO00219,LO,6704,LO-006704,PW,6725,PW-6725,AA,6704,AA-6704,Activo,TO0219,P2,Macro,,,"Nueva Demanda",,,,39.705033,-4.266465,719.0,,false,,false,,,,false,,RCEN,,TORRE,,,,,,,TO0219
SPA-MX,586,SPA-MX00586,LO,4445,LO-004445,PW,4487,PW-4487,AA,4455,AA-4455,Activo,MX0586,P1,Macro,,,"Nueva Demanda",,,,40.326665,-3.778015,673.0,,false,,false,,,,false,,RCEN,,TORRE,,,,,,,MX0586
SPA-VX,1330,SPA-VX01330,LO,7503,LO-007503,PW,7516,PW-7516,AA,7501,AA-7501,Activo,VX1330,P3,Macro,,,"Nueva Demanda",,,,39.664542,-0.232166,15.0,,false,,false,,,,false,,REST,"VODAFONE JUMPING",AZOTEA,,,,,,,VX1330
SPA-AB,5886,SPA-AB05886,LO,24,LO-000024,PW,91,PW-0091,AA,24,AA-0024,Activo,AB5886,P3,Macro,,,"Nueva Demanda",,,,38.99350554,-1.86478449,688.0,,false,,false,,,,false,,RCEN,,AZOTEA,,,,,,,AB5886
SPA-CS,50,SPA-CS00050,LO,1859,LO-001859,PW,1913,PW-1913,AA,1874,AA-1874,Activo,CS0050,P3,Macro,,,"Nueva Demanda",,,,40.014022,-0.697799,1003.0,,false,,false,,,,false,,REST,,TORRE,,,,,,,CS0050
SPA-IB,308,SPA-IB00308,LO,3155,LO-003155,PW,3201,PW-3201,AA,3168,AA-3168,Activo,IB0308,P2,Macro,,,"Nueva Demanda",,,,39.569572,2.663566,14.0,,false,,false,,,,false,,REST,,AZOTEA,,,,,,,IB0308
SPA-MX,449,SPA-MX00449,LO,4400,LO-004400,PW,4442,PW-4442,AA,4410,AA-4410,Activo,MX0449,P2,Macro,,,"Nueva Demanda",,,,40.39992,-3.721316,589.0,,false,,false,,,,false,,RCEN,,AZOTEA,,,,,,,MX0449
SPA-VX,1104,SPA-VX01104,LO,7444,LO-007444,PW,7457,PW-7457,AA,7442,AA-7442,Activo,VX1104,P3,Macro,,VAL0104,"Nueva Demanda",,,,39.452193,-0.372892,12.0,,false,,false,,,,false,,REST,,AZOTEA,,,,,,,VX1104
SPA-PX,8003,SPA-PX08003,LO,5642,LO-005642,PW,5676,PW-5676,AA,5646,AA-5646,Activo,PX8003,P3,Macro,,,"Nueva Demanda",,,,42.080745,-4.203932,753.0,,false,,false,,,,false,,RNOR,,TORRE,,,,,,,PX8003
SPA-VA,22,SPA-VA00022,LO,6975,LO-006975,PW,6995,PW-6995,AA,6974,AA-6974,Activo,VA0022,P3,Macro,,"HOTEL VINCCI FRONTAURA","Nueva Demanda",,,,41.621297,-4.748344,700.0,,false,,false,,,,false,,RNOR,"frontaura@vinccihoteles.com",AZOTEA,,,,,,,VA0022
SPA-IB,304,SPA-IB00304,LO,3154,LO-003154,PW,3200,PW-3200,AA,3167,AA-3167,Activo,IB0304,P2,Macro,,,"Nueva Demanda",,,,39.576146,2.645591,20.0,,false,,false,,,,false,,REST,,AZOTEA,,,,,,,IB0304
SPA-TF,6415,SPA-TF06415,LO,6594,LO-006594,PW,6616,PW-6616,AA,6594,AA-6594,Activo,TF6415,P3,Macro,,,"Nueva Demanda",,,,28.366172,-16.504181,0.0,,false,,false,,,,false,,RCEN,,AZOTEA,,,,,,,TF6415
SPA-HX,99,SPA-HX00099,,,-,,,-,,,-,Viabilidad,HX0099,P3,,,,"Nueva Demanda",,,,,,,,false,,false,,,,false,,RSUR,,Fachada,,,,,,,
SPA-OX,1192,SPA-OX01192,LO,5283,LO-005283,PW,5317,PW-5317,AA,5287,AA-5287,Activo,OX1192,P3,Macro,,,"Nueva Demanda",,,,43.583101,-5.868709,76.0,,false,,false,,,,false,,RNOR,,TORRE,,,,,,,OX1192
SPA-BU,4120,SPA-BU04120,LO,639,LO-000639,PW,696,PW-0696,AA,657,AA-0657,Activo,BU4120,P2,Macro,,,"Nueva Demanda",,,,42.662583,-3.035878,571.0,,false,,false,,,,false,,RNOR,,TORRE,,,,,,,BU4120
SPA-HU,7219,SPA-HU07219,LO,2890,LO-002890,PW,2937,PW-2937,AA,2904,AA-2904,Activo,HU7219,P3,Macro,,,"Nueva Demanda",,,,42.105254,0.251889,505.0,,false,,false,,,,false,,REST,,TORRE,,,,,,,HU7219
SPA-MX,602,SPA-MX00602,LO,4447,LO-004447,PW,4489,PW-4489,AA,4457,AA-4457,Activo,MX0602,P1,Macro,,,"Nueva Demanda",,,,40.282583,-3.785922,0.0,,false,,false,,,,false,,RCEN,,AZOTEA,,,,,,,MX0602
SPA-LO,537,SPA-LO00537,LO,3551,LO-003551,PW,3595,PW-3595,AA,3563,AA-3563,Activo,LO0537,P3,Macro,,,"Nueva Demanda",,,,42.454588,-2.468944,401.0,,false,,false,,,,false,,RNOR,,AZOTEA,,,,,,,LO0537
SPA-LU,7640,SPA-LU07640,LO,3606,LO-003606,PW,3650,PW-3650,AA,3618,AA-3618,Activo,LU7640,P1,Macro,,,"Nueva Demanda",,,,43.35942,-7.182156,210.0,,false,,false,,,,false,,RNOR,,TORRE,,,,,,,LU7640
SPA-AV,8471,SPA-AV08471,LO,155,LO-000155,PW,220,PW-0220,AA,154,AA-0154,Activo,AV8471,P3,Macro,,"Jumping VDF","Nueva Demanda",,,,40.744491,-4.47336,1327.0,,false,,false,,,,false,,RNOR,,,,,,,,,AV8471
SPA-OR,19,SPA-OR00019,LO,5096,LO-005096,PW,5131,PW-5131,AA,5101,AA-5101,Activo,OR0019,P3,Macro,,,"Nueva Demanda",,,,42.249708,-8.049015,380.0,,false,,false,,,,false,,RNOR,,TORRE,,,,,,,OR0019
SPA-PO,6056,SPA-PO06056,LO,5513,LO-005513,PW,5547,PW-5547,AA,5517,AA-5517,Activo,PO6056,P3,Macro,,,"Nueva Demanda",,,,42.535732,-8.796828,63.0,,false,,false,,,,false,,RNOR,,TORRE,,,,,,,PO6056
SPA-BX,6081,SPA-BX06081,LO,1415,LO-001415,PW,1473,PW-1473,AA,1431,AA-1431,Activo,BX6081,P3,DDEE,,"SABA TRAVESSERA II","Nueva Demanda",,,,41.395462,2.148229,0.0,,false,,false,,,,false,,REST,,AZOTEA,,,,,,,BX6081
SPA-VX,3739,SPA-VX03739,LO,8229,LO-008229,PW,16083,PW-16083,AA,7899,AA-7899,Construccion,VX3739,P3,,,,Repliegue,,,,39.462333,-0.46225,0.0,,false,,false,,,,false,,REST,,AZOTEA,,,,,,,VX3739
SPA-GC,3043,SPA-GC03043,LO,2492,LO-002492,PW,2538,PW-2538,AA,2506,AA-2506,Activo,GC3043,P3,Macro,,,"Nueva Demanda",,,,28.173632,-14.22156,42.0,,false,,false,,,,false,,RCEN,,AZOTEA,,,,,,,GC3043
SPA-TX,7665,SPA-TX07665,LO,6875,LO-006875,PW,6896,PW-6896,AA,6874,AA-6874,Activo,TX7665,P3,Macro,,"CTRA.N-340 KM.1.078","Nueva Demanda",,,,40.652299,0.591041,11.0,,false,,false,,,,false,,REST,,TORRE,,,,,,,TX7665
SPA-BI,714,SPA-BI00714,LO,573,LO-000573,PW,630,PW-0630,AA,573,AA-0573,Activo,BI0714,P3,Macro,,,"Nueva Demanda",,,,43.262096,-2.479783,196.0,,false,,false,,,,false,,RNOR,,TORRE,,,,,,,BI0714
SPA-PX,8026,SPA-PX08026,LO,5643,LO-005643,PW,5677,PW-5677,AA,5647,AA-5647,Activo,PX8026,P2,Macro,,,"Nueva Demanda",,,,42.040927,-4.525743,795.0,,false,,false,,,,false,,RNOR,,TORRE,,,,,,,PX8026
SPA-BI,561,SPA-BI00561,,,-,,,-,,,-,Viabilidad,BI0561,P3,,,,"Nueva Demanda",,,,,,,,false,,false,,,,false,,RNOR,,Fachada,,,,,,,
SPA-PO,5010,SPA-PO05010,LO,5497,LO-005497,PW,5531,PW-5531,AA,5501,AA-5501,Activo,PO5010,P3,Macro,,,"Nueva Demanda",,,,42.429319,-8.64182,26.0,,false,,false,,,,false,,RNOR,,AZOTEA,,,,,,,PO5010
SPA-AV,8709,SPA-AV08709,LO,195,LO-000195,PW,260,PW-0260,AA,194,AA-0194,Activo,AV8709,P3,Macro,,,"Nueva Demanda",,,,40.249546,-5.006749,800.0,,false,,false,,,,false,,RNOR,,TORRE,,,,,,,AV8709
SPA-TE,118,SPA-TE00118,LO,6443,LO-006443,PW,6473,PW-6473,AA,6443,AA-6443,Activo,TE0118,P3,Macro,,,"Nueva Demanda",,,,40.609218,-0.757113,1330.0,,false,,false,,,,false,,REST,,TORRE,,,,,,,TE0118
SPA-LE,1750,SPA-LE01750,LO,3490,LO-003490,PW,3537,PW-3537,AA,3502,AA-3502,Activo,LE1750,P3,DDEE,,,"Nueva Demanda",,,,42.846813,-5.875465,0.0,,false,,false,,,,false,,RNOR,,AZOTEA,,,,,,,LE1750
SPA-IB,400,SPA-IB00400,LO,3208,LO-003208,PW,16041,PW-16041,AA,3221,AA-3221,Desmantelado,IB0400,P3,Macro,,"BALR0379 VALLGORNERA","Nueva Demanda",,,,39.367481,2.868186,30.0,,false,,false,,,,false,,REST,"7-9-18 Burofax preaviso rescisiÃ³n 1-7-20 (ellos dicen, 30-3-19). Negociando",TORRE,,,,,,,IB0400
SPA-AX,2819,SPA-AX02819,,,-,,,-,,,-,Viabilidad,AX2819,P3,,,,"Nueva Demanda",,,,,,,,false,,false,,,,false,,REST,,Fachada,,,,,,,
SPA-PO,4070,SPA-PO04070,LO,5468,LO-005468,PW,5502,PW-5502,AA,5472,AA-5472,Activo,PO4070,P3,"PeticiÃ³n Cliente",,"GRUPO PSA CITROEN","Nueva Demanda",,,,42.207102,-8.743153,40.0,,false,,false,,,,false,,RNOR,,AZOTEA,,,,,,,PO4070
SPA-LX,1111,SPA-LX01111,LO,3695,LO-003695,PW,3739,PW-3739,AA,3707,AA-3707,Activo,LX1111,P1,Macro,,,"Nueva Demanda",,,,41.703268,0.742514,700.0,,false,,false,,,,false,,REST,,TORRE,,,,,,,LX1111
SPA-GI,8612,SPA-GI08612,LO,2579,LO-002579,PW,2625,PW-2625,AA,2593,AA-2593,Activo,GI8612,P3,Macro,,,"Nueva Demanda",,,,42.292408,3.272707,50.0,,false,,false,,,,false,,REST,,AZOTEA,,,,,,,GI8612
SPA-TX,7747,SPA-TX07747,LO,6927,LO-006927,PW,6947,PW-6947,AA,6926,AA-6926,Activo,TX7747,P3,Macro,,"CLINICA LA ALIANZA","Nueva Demanda",,,,40.813807,0.516292,10.0,,false,,false,,,,false,,REST,,AZOTEA,,,,,,,TX7747
SPA-AV,8604,SPA-AV08604,LO,186,LO-000186,PW,251,PW-0251,AA,185,AA-0185,Activo,AV8604,P3,Macro,,"LINTYA (UF): CENTRO DE FORMACIÃN PUENTE NUEVO","Nueva Demanda",,,,40.407825,-4.441831,695.0,,false,,false,,,,false,,RNOR,,TORRE,,,,,,,AV8604
SPA-BX,4268,SPA-BX04268,,,-,,,-,,,-,Viabilidad,BX4268,P3,,,,"Nueva Demanda",,,,,,,,false,,false,,,,false,,REST,,AZOTEA,,,,,,,BX4268
SPA-MX,6406,SPA-MX06406,LO,4929,LO-004929,PW,4968,PW-4968,AA,4936,AA-4936,Activo,MX6406,P2,DDEE,,,"Nueva Demanda",,,,40.337093,-3.526347,555.0,,false,,false,,,,false,,RCEN,"Acceso: para trabajos programados solicitar con 48hs de antelaciÃ³n a Gerencia spain.h2occ@cbre.com de L a J de 9 a 14 y de 16 a 19hs con listado de tÃ©cnicos, motivo y hÂº de acceso (SM.Ene.2017)",AZOTEA,,,,,,,MX6406
SPA-BI,613,SPA-BI00613,LO,551,LO-000551,PW,609,PW-0609,AA,551,AA-0551,Activo,BI0613,P3,Macro,,"Jumping VDF","Nueva Demanda",,,,43.352252,-2.483464,0.0,,false,,false,,,,false,,RNOR,"VODAFONE JUMPING",,,,,,,,BI0613
SPA-TE,4,SPA-TE00004,LO,6396,LO-006396,PW,6426,PW-6426,AA,6396,AA-6396,Activo,TE0004,P3,Macro,,,"Nueva Demanda",,,,40.304505,-1.00602,1215.0,,false,,false,,,,false,,REST,,TORRE,,,,,,,TE0004
SPA-CX,938,SPA-CX00938,LO,2176,LO-002176,PW,2226,PW-2226,AA,2191,AA-2191,Activo,CX0938,P1,Macro,,,"Nueva Demanda",,,,42.93115,-8.159684,404.0,,false,,false,,,,false,,RNOR,,TORRE,,,,,,,CX0938
SPA-GI,8651,SPA-GI08651,LO,2597,LO-002597,PW,2643,PW-2643,AA,2611,AA-2611,Activo,GI8651,P3,Macro,,,"Nueva Demanda",,,,41.850212,2.544628,505.0,,false,,false,,,,false,,REST,,TORRE,,,,,,,GI8651
SPA-CA,4547,SPA-CA04547,,,-,,,-,,,-,Viabilidad,CA4547,P3,,,,Repliegue,,,,,,,,false,,false,,,,false,,RSUR,,AZOTEA,,,,,,,
SPA-CA,4639,SPA-CA04639,LO,1506,LO-001506,PW,1564,PW-1564,AA,1522,AA-1522,Activo,CA4639,P3,Macro,,,"Nueva Demanda",,,,36.204861,-5.928703,24.0,,false,,false,,,,false,,RSUR,"Necesario llamar antes",TORRE,,,,,,,CA4639
SPA-BX,116,SPA-BX00116,LO,809,LO-000809,PW,864,PW-0864,AA,827,AA-0827,Activo,BX0116,P3,Macro,,,"Nueva Demanda",,,,41.802115,2.224676,550.0,,false,,false,,,,false,,REST,,TORRE,,,,,,,BX0116
SPA-LX,9415,SPA-LX09415,LO,3706,LO-003706,PW,3750,PW-3750,AA,3718,AA-3718,Activo,LX9415,P3,Macro,,,"Nueva Demanda",,,,41.630101,0.622316,164.0,,false,,false,,,,false,,REST,,AZOTEA,,,,,,,LX9415
SPA-BI,316,SPA-BI00316,LO,499,LO-000499,PW,559,PW-0559,AA,499,AA-0499,Activo,BI0316,P3,Macro,,,"Nueva Demanda",,,,43.34727,-3.008488,41.0,,false,,false,,,,false,,RNOR,,AZOTEA,,,,,,,BI0316
SPA-SX,501,SPA-SX00501,LO,6306,LO-006306,PW,6337,PW-6337,AA,6306,AA-6306,Activo,SX0501,P3,Macro,,,"Nueva Demanda",,,,43.400711,-3.821968,41.0,,false,,false,,,,false,,RNOR,,AZOTEA,,,,,,,SX0501
SPA-BX,941,SPA-BX00941,LO,1057,LO-001057,PW,1113,PW-1113,AA,1073,AA-1073,Activo,BX0941,P1,Macro,,,"Nueva Demanda",,,,41.579583,1.619138,319.0,,false,,false,,,,false,,REST,,AZOTEA,,,,,,,BX0941
SPA-GI,5713,SPA-GI05713,LO,2536,LO-002536,PW,2582,PW-2582,AA,2550,AA-2550,Activo,GI5713,P3,Macro,,"CAT5713 REPLIEGUE DE CAT8824","Nueva Demanda",,,,41.702561,2.854764,0.0,,false,,false,,,,false,,REST,,AZOTEA,,,,,,,GI5713
SPA-CX,286,SPA-CX00286,LO,2116,LO-002116,PW,2166,PW-2166,AA,2131,AA-2131,Activo,CX0286,P3,Macro,,,"Nueva Demanda",,,,42.878181,-8.543539,268.0,,false,,false,,,,false,,RNOR,,AZOTEA,,,,,,,CX0286
SPA-VX,1507,SPA-VX01507,LO,7529,LO-007529,PW,7541,PW-7541,AA,7527,AA-7527,Activo,VX1507,P3,Macro,,"Jumping VDF","Nueva Demanda",,,,39.182642,-0.262647,0.0,,false,,false,,,,false,,REST,"VODAFONE JUMPING",,,,,,,,VX1507
SPA-BI,303,SPA-BI00303,LO,493,LO-000493,PW,553,PW-0553,AA,493,AA-0493,Activo,BI0303,P3,Macro,,"HOTEL CONDE DUQUE","Nueva Demanda",,,,43.266752,-2.926529,18.0,,false,,false,,,,false,,RNOR,"Hotel Cerrado durante estado alarma, el Director esta de 9:00 -13:00h, debemos adaptarnos a sus horarios. OJO ascensor inutilizado temporalmente no han renovado pÃ³liza mto.",TORRE,,,,,,,BI0303
SPA-MX,2621,SPA-MX02621,,,-,,,-,,,-,Viabilidad,MX2621,P3,,,,Repliegue,,,,,,,,false,,false,,,,false,,RCEN,,AZOTEA,,,,,,,MX2621
SPA-PX,8032,SPA-PX08032,LO,5648,LO-005648,PW,5682,PW-5682,AA,5652,AA-5652,Activo,PX8032,P1,Macro,,,"Nueva Demanda",,,,42.54145,-4.308265,872.0,,false,,false,,,,false,,RNOR,,TORRE,,,,,,,PX8032
SPA-CX,1765,SPA-CX01765,LO,2225,LO-002225,PW,2275,PW-2275,AA,2240,AA-2240,Activo,CX1765,P1,Macro,,,"Nueva Demanda",,,,43.649738,-8.010837,224.0,,false,,false,,,,false,,RNOR,,TORRE,,,,,,,CX1765
SPA-BX,1914,SPA-BX01914,LO,1222,LO-001222,PW,1278,PW-1278,AA,1238,AA-1238,Activo,BX1914,P2,DDEE,,"ECI SABADELL (0007)","Nueva Demanda",,,,41.554742,2.098428,0.0,,false,,false,,,,false,,REST,,AZOTEA,,,,,,,BX1914
SPA-PO,6356,SPA-PO06356,LO,5565,LO-005565,PW,5599,PW-5599,AA,5569,AA-5569,Activo,PO6356,P1,Macro,,,"Nueva Demanda",,,,42.109477,-8.857461,141.0,,false,,false,,,,false,,RNOR,,TORRE,,,,,,,PO6356
SPA-BI,63,SPA-BI00063,LO,480,LO-000480,PW,540,PW-0540,AA,480,AA-0480,Activo,BI0063,P3,Micro,,,"Nueva Demanda",,,,43.256697,-2.92301,5.0,,false,,false,,,,false,,RNOR,,AZOTEA,,,,,,,BI0063
SPA-BX,263,SPA-BX00263,LO,830,LO-000830,PW,884,PW-0884,AA,846,AA-0846,Activo,BX0263,P2,Macro,,,"Nueva Demanda",,,,41.491413,2.090304,141.0,,false,,false,,,,false,,REST,,TORRE,,,,,,,BX0263
SPA-BX,386,SPA-BX00386,LO,884,LO-000884,PW,939,PW-0939,AA,900,AA-0900,Activo,BX0386,P3,Macro,,,"Nueva Demanda",,,,41.39896,2.18201,12.0,,false,,false,,,,false,,REST,,AZOTEA,,,,,,,BX0386
SPA-MX,6108,SPA-MX06108,LO,4855,LO-004855,PW,4894,PW-4894,AA,4862,AA-4862,Activo,MX6108,P2,DDEE,,,"Nueva Demanda",,,,40.480024,-3.707539,0.0,,false,,false,,,,false,,RCEN,,AZOTEA,,,,,,,MX6108
SPA-AX,6051,SPA-AX06051,LO,335,LO-000335,PW,398,PW-0398,AA,332,AA-0332,Activo,AX6051,P3,Macro,,VALX6051,"Nueva Demanda",,,,38.535318,-0.826531,490.0,,false,,false,,,,false,,REST,,AZOTEA,,,,,,,AX6051
SPA-CU,8457,SPA-CU08457,LO,2003,LO-002003,PW,2054,PW-2054,AA,2018,AA-2018,Activo,CU8457,P3,Macro,,,"Nueva Demanda",,,,39.240115,-2.343502,0.0,,false,,false,,,,false,,RCEN,,AZOTEA,,,,,,,CU8457
SPA-BX,2443,SPA-BX02443,LO,1282,LO-001282,PW,1339,PW-1339,AA,1298,AA-1298,Activo,BX2443,P3,"PeticiÃ³n Cliente",,,"Nueva Demanda",,,,41.538197,2.213013,0.0,,false,,false,,,,false,,REST,ptc,TORRE,,,,,,,BX2443
SPA-PX,8301,SPA-PX08301,LO,5668,LO-005668,PW,5702,PW-5702,AA,5672,AA-5672,Activo,PX8301,P3,Macro,,,"Nueva Demanda",,,,42.261674,-4.860334,800.0,,false,,false,,,,false,,RNOR,,TORRE,,,,,,,PX8301
